No.	NAME	MW	AMW	Sv	Se	Sp	Si	Mv	Me	Mp	Mi	GD	nAT	nSK	nTA	nBT	nBO	nBM	SCBO	RBN	RBF	nDB	nTB	nAB	nH	nC	nN	nO	nP	nS	nF	nCL	nBR	nI	nB	nHM	nHet	nX	H%	C%	N%	O%	X%	nCsp3	nCsp2	nCsp	max_conj_path	nStructures	totalcharge
543	hexyloctanoate	228.42	5.19136363636363	22.8048	43.025	25.5686	50.2316	0.51829090909091	0.977840909090909	0.581104545454546	1.14162727272727	0.125	44	16	3	43	15	1	16	12	0.27906976744186	1	0	0	28	14	0	2	0	0	0	0	0	0	0	0	2	0	63.6363636363636	31.8181818181818	0	4.54545454545455	0	13	1	0	0	1	0
544	calamenene	202.37	5.46945945945945	20.7948	35.7196	23.3754	41.5672	0.562021621621622	0.965394594594595	0.631767567567568	1.12343783783784	0.152380952380952	37	15	4	38	16	6	19	1	0.0263157894736842	0	0	6	22	15	0	0	0	0	0	0	0	0	0	0	0	0	59.4594594594595	40.5405405405405	0	0	0	9	6	0	6	1	0
545	isopropylbenzoate	164.22	6.84249999999999	14.5904	23.9562	15.4774	26.91	0.607933333333334	0.998175	0.644891666666666	1.12125	0.181818181818182	24	12	3	24	12	7	16	3	0.125	1	0	6	12	10	0	2	0	0	0	0	0	0	0	0	2	0	50	41.6666666666667	0	8.33333333333333	0	3	7	0	8	1	0
546	12-methyltridecanal	212.42	4.93999999999999	22.09	41.6977	25.1141	49.0222	0.513720930232559	0.969713953488372	0.584048837209303	1.1400511627907	0.133333333333333	43	15	3	42	14	1	15	11	0.261904761904762	1	0	0	28	14	0	1	0	0	0	0	0	0	0	0	1	0	65.1162790697674	32.5581395348837	0	2.32558139534884	0	13	1	0	0	1	0
547	laurylalcohol	186.38	4.77897435897435	19.5632	37.8141	22.3527	44.607	0.501620512820513	0.969592307692308	0.573146153846154	1.14376923076923	0.153846153846154	39	13	2	38	12	0	12	10	0.263157894736842	0	0	0	26	12	0	1	0	0	0	0	0	0	0	0	1	0	66.6666666666667	30.7692307692308	0	2.56410256410256	0	12	0	0	0	1	0
548	nerolidol	222.41	5.29547619047618	22.5632	40.8141	25.3527	47.607	0.537219047619048	0.971764285714286	0.603635714285715	1.1335	0.125	42	16	6	41	15	3	18	7	0.170731707317073	3	0	0	26	15	0	1	0	0	0	0	0	0	0	0	1	0	61.9047619047619	35.7142857142857	0	2.38095238095238	0	9	6	0	0	1	0
549	guaiol	222.41	5.29547619047618	22.5632	40.8141	25.3527	47.607	0.537219047619048	0.971764285714286	0.603635714285715	1.1335	0.141666666666667	42	16	5	43	17	1	18	1	0.0232558139534884	1	0	0	26	15	0	1	0	0	0	0	0	0	0	0	1	0	61.9047619047619	35.7142857142857	0	2.38095238095238	0	13	2	0	0	1	0
550	tridecanol	200.41	4.77166666666666	21.09	40.6977	24.1141	48.0222	0.502142857142858	0.968992857142857	0.574145238095238	1.14338571428571	0.142857142857143	42	14	2	41	13	0	13	11	0.268292682926829	0	0	0	28	13	0	1	0	0	0	0	0	0	0	0	1	0	66.6666666666667	30.952380952381	0	2.38095238095238	0	13	0	0	0	1	0
551	(E)-isoelemicin	208.28	6.71870967741935	18.3588	31.0507	19.4547	34.9498	0.59221935483871	1.00163548387097	0.627570967741936	1.12741290322581	0.142857142857143	31	15	4	31	15	7	19	4	0.129032258064516	1	0	6	16	12	0	3	0	0	0	0	0	0	0	0	3	0	51.6129032258064	38.7096774193548	0	9.67741935483871	0	4	8	0	8	1	0
552	dillapiol	222.26	7.40866666666666	18.5468	30.4944	19.1478	33.744	0.618226666666667	1.01648	0.63826	1.1248	0.141666666666667	30	16	3	31	17	7	21	4	0.129032258064516	1	0	6	14	12	0	4	0	0	0	0	0	0	0	0	4	0	46.6666666666667	40	0	13.3333333333333	0	4	8	0	6	1	0
