No.	NAME	MW	AMW	Sv	Se	Sp	Si	Mv	Me	Mp	Mi	GD	nAT	nSK	nTA	nBT	nBO	nBM	SCBO	RBN	RBF	nDB	nTB	nAB	nH	nC	nN	nO	nP	nS	nF	nCL	nBR	nI	nB	nHM	nHet	nX	H%	C%	N%	O%	X%	nCsp3	nCsp2	nCsp	max_conj_path	nStructures	totalcharge
585	beta-sinensal	218.37	5.74657894736842	21.5096	37.0469	23.8299	42.7766	0.566042105263158	0.974918421052632	0.627102631578948	1.1257	0.125	38	16	5	37	15	5	20	8	0.216216216216216	5	0	0	22	15	0	1	0	0	0	0	0	0	0	0	1	0	57.8947368421053	39.4736842105263	0	2.63157894736842	0	6	9	0	4	1	0
586	pentadecanal	226.45	4.92282608695652	23.6168	44.5813	26.8755	52.4374	0.513408695652174	0.969158695652174	0.58425	1.13994347826087	0.125	46	16	2	45	15	1	16	13	0.288888888888889	1	0	0	30	15	0	1	0	0	0	0	0	0	0	0	1	0	65.2173913043478	32.6086956521739	0	2.17391304347826	0	14	1	0	0	1	0
587	heptadecane	240.53	4.53830188679245	26.4824	50.9048	30.7052	60.4736	0.499667924528302	0.960467924528302	0.579343396226416	1.14101132075472	0.117647058823529	53	17	2	52	16	0	16	14	0.269230769230769	0	0	0	36	17	0	0	0	0	0	0	0	0	0	0	0	0	67.9245283018868	32.0754716981132	0	0	0	17	0	0	0	1	0
588	delta-dodecalactone	198.34	5.50944444444444	19.2244	35.3742	21.2844	40.986	0.534011111111112	0.982616666666667	0.591233333333334	1.1385	0.153846153846154	36	14	2	36	14	1	15	6	0.166666666666667	1	0	0	22	12	0	2	0	0	0	0	0	0	0	0	2	0	61.1111111111111	33.3333333333333	0	5.55555555555556	0	11	1	0	0	1	0
589	(E)-farnesol	222.41	5.29547619047618	22.5632	40.8141	25.3527	47.607	0.537219047619048	0.971764285714286	0.603635714285715	1.1335	0.125	42	16	5	41	15	3	18	7	0.170731707317073	3	0	0	26	15	0	1	0	0	0	0	0	0	0	0	1	0	61.9047619047619	35.7142857142857	0	2.38095238095238	0	9	6	0	0	1	0
590	ethyl-(E)-cinnamate	176.23	7.0492	15.5904	24.9562	16.4774	27.91	0.623616	0.998248	0.659096	1.1164	0.166666666666667	25	13	2	25	13	8	18	4	0.16	2	0	6	12	11	0	2	0	0	0	0	0	0	0	0	2	0	48	44	0	8	0	2	9	0	10	1	0
591	viridiflorol	222.41	5.29547619047619	22.5632	40.8141	25.3527	47.607	0.537219047619048	0.971764285714286	0.603635714285715	1.1335	0.15	42	16	5	44	18	0	18	0	0	0	0	0	26	15	0	1	0	0	0	0	0	0	0	0	1	0	61.9047619047619	35.7142857142857	0	2.38095238095238	0	15	0	0	0	1	0
592	trimethylphenylbutenone	188.29	6.27633333333333	17.9292	29.3961	19.5457	33.531	0.59764	0.97987	0.651523333333333	1.1177	0.153846153846154	30	14	5	30	14	8	19	3	0.1	2	0	6	16	13	0	1	0	0	0	0	0	0	0	0	1	0	53.3333333333333	43.3333333333333	0	3.33333333333333	0	4	9	0	6	1	0
593	benzylbenzoate	212.26	7.58071428571428	18.5904	27.9562	19.4774	30.91	0.663942857142858	0.998435714285715	0.695621428571429	1.10392857142857	0.141666666666667	28	16	1	29	17	13	24	4	0.137931034482759	1	0	12	12	14	0	2	0	0	0	0	0	0	0	0	2	0	42.8571428571429	50	0	7.14285714285714	0	1	13	0	8	1	0
594	methylfuraneol	98.11	7.54692307692308	8.01	13.3054	8.1932	14.6644	0.616153846153846	1.02349230769231	0.630246153846154	1.12803076923077	0.333333333333333	13	7	2	13	7	5	9.5	0	0	0	0	5	6	5	0	2	0	0	0	0	0	0	0	0	2	0	46.1538461538462	38.4615384615385	0	15.3846153846154	0	1	4	0	5	1	0
595	bornylbenzoate	258.39	6.30219512195121	24.2244	40.3742	26.2844	45.986	0.590839024390244	0.984736585365854	0.641082926829269	1.12160975609756	0.12280701754386	41	19	4	43	21	7	25	3	0.0697674418604651	1	0	6	22	17	0	2	0	0	0	0	0	0	0	0	2	0	53.6585365853659	41.4634146341463	0	4.8780487804878	0	10	7	0	8	1	0
596	hexadecanone	240.48	4.90775510204081	25.1436	47.4649	28.6369	55.8526	0.513134693877552	0.968671428571429	0.584426530612245	1.13984897959184	0.117647058823529	49	17	3	48	16	1	17	13	0.270833333333333	1	0	0	32	16	0	1	0	0	0	0	0	0	0	0	1	0	65.3061224489796	32.6530612244898	0	2.04081632653061	0	15	1	0	0	1	0
597	4-propyl-guaiacol	166.24	6.39384615384615	15.1172	25.8398	16.2388	29.3252	0.58143076923077	0.993838461538462	0.62456923076923	1.12789230769231	0.181818181818182	26	12	3	26	12	6	15	3	0.115384615384615	0	0	6	14	10	0	2	0	0	0	0	0	0	0	0	2	0	53.8461538461538	38.4615384615385	0	7.69230769230769	0	4	6	0	6	1	0
598	palmitaldehyde	240.48	4.90775510204081	25.1436	47.4649	28.6369	55.8526	0.513134693877552	0.968671428571429	0.584426530612245	1.13984897959184	0.117647058823529	49	17	2	48	16	1	17	14	0.291666666666667	1	0	0	32	16	0	1	0	0	0	0	0	0	0	0	1	0	65.3061224489796	32.6530612244898	0	2.04081632653061	0	15	1	0	0	1	0
599	octadecane	254.56	4.54571428571428	28.0092	53.7884	32.4666	63.8888	0.500164285714286	0.960507142857143	0.579760714285715	1.14087142857143	0.111111111111111	56	18	2	55	17	0	17	15	0.272727272727273	0	0	0	38	18	0	0	0	0	0	0	0	0	0	0	0	0	67.8571428571429	32.1428571428571	0	0	0	18	0	0	0	1	0
600	Diethyl2-hydroxyglutarate	204.25	6.80833333333333	16.7884	30.7053	17.3637	34.3686	0.559613333333334	1.02351	0.57879	1.14562	0.142857142857143	30	14	5	29	13	2	15	8	0.275862068965517	2	0	0	16	9	0	5	0	0	0	0	0	0	0	0	5	0	53.3333333333333	30	0	16.6666666666667	0	7	2	0	0	1	0
601	phenylethylbenzoate	226.29	7.29967741935483	20.1172	30.8398	21.2388	34.3252	0.648941935483871	0.994832258064516	0.685122580645162	1.10726451612903	0.132352941176471	31	17	1	32	18	13	25	5	0.15625	1	0	12	14	15	0	2	0	0	0	0	0	0	0	0	2	0	45.1612903225806	48.3870967741936	0	6.45161290322581	0	2	13	0	8	1	0
602	alpha-calacorene	200.35	5.72428571428571	20.268	33.836	22.614	39.152	0.579085714285715	0.966742857142857	0.646114285714286	1.11862857142857	0.152380952380952	35	15	4	36	16	7	20	1	0.0277777777777778	1	0	6	20	15	0	0	0	0	0	0	0	0	0	0	0	0	57.1428571428571	42.8571428571429	0	0	0	7	8	0	8	1	0
603	hexadecanol	242.5	4.75490196078431	25.6704	49.3485	29.3983	58.2678	0.503341176470589	0.967617647058824	0.576437254901961	1.14250588235294	0.117647058823529	51	17	2	50	16	0	16	14	0.28	0	0	0	34	16	0	1	0	0	0	0	0	0	0	0	1	0	66.6666666666667	31.3725490196078	0	1.96078431372549	0	16	0	0	0	1	0
604	cetylalcohol	242.5	4.75490196078431	25.6704	49.3485	29.3983	58.2678	0.503341176470589	0.967617647058824	0.576437254901961	1.14250588235294	0.117647058823529	51	17	2	50	16	0	16	14	0.28	0	0	0	34	16	0	1	0	0	0	0	0	0	0	0	1	0	66.6666666666667	31.3725490196078	0	1.96078431372549	0	16	0	0	0	1	0
605	4-Carbethoxybutyrolactone	158.17	7.53190476190476	12.4932	21.7272	12.625	23.9136	0.594914285714286	1.03462857142857	0.601190476190476	1.13874285714286	0.2	21	11	3	21	11	2	13	3	0.142857142857143	2	0	0	10	7	0	4	0	0	0	0	0	0	0	0	4	0	47.6190476190476	33.3333333333333	0	19.047619047619	0	5	2	0	0	1	0
606	eudesmol	222.41	5.29547619047618	22.5632	40.8141	25.3527	47.607	0.537219047619048	0.971764285714286	0.603635714285715	1.1335	0.15	42	16	5	44	18	0	18	0	0	0	0	0	26	15	0	1	0	0	0	0	0	0	0	0	1	0	61.9047619047619	35.7142857142857	0	2.38095238095238	0	15	0	0	0	1	0
607	ethylhexadecanoate	284.54	5.08107142857142	28.912	54.5594	32.6142	63.8924	0.516285714285715	0.974275	0.582396428571429	1.14093571428571	0.1	56	20	3	55	19	1	20	16	0.290909090909091	1	0	0	36	18	0	2	0	0	0	0	0	0	0	0	2	0	64.2857142857143	32.1428571428571	0	3.57142857142857	0	17	1	0	0	1	0
608	isoeugenol	164.22	6.8425	14.5904	23.9562	15.4774	26.91	0.607933333333334	0.998175	0.644891666666666	1.12125	0.181818181818182	24	12	3	24	12	7	16	2	0.0833333333333333	1	0	6	12	10	0	2	0	0	0	0	0	0	0	0	2	0	50	41.6666666666667	0	8.33333333333333	0	2	8	0	8	1	0
609	nonadecane	268.59	4.55237288135593	29.536	56.672	34.228	67.304	0.500610169491526	0.960542372881356	0.580135593220339	1.14074576271186	0.105263157894737	59	19	2	58	18	0	18	16	0.275862068965517	0	0	0	40	19	0	0	0	0	0	0	0	0	0	0	0	0	67.7966101694915	32.2033898305085	0	0	0	19	0	0	0	1	0
610	gamma-undecalactone	184.31	5.58515151515151	17.6976	32.4906	19.523	37.5708	0.53629090909091	0.984563636363637	0.591606060606061	1.13850909090909	0.166666666666667	33	13	2	33	13	1	14	6	0.181818181818182	1	0	0	20	11	0	2	0	0	0	0	0	0	0	0	2	0	60.6060606060606	33.3333333333333	0	6.06060606060606	0	10	1	0	0	1	0
611	(E,E)-farnesylacetate	263.44	5.72695652173912	25.5414	45.0832	28.1879	52.024	0.555247826086957	0.980069565217392	0.612780434782609	1.13095652173913	0.105263157894737	46	19	6	45	18	4	22	9	0.2	4	0	0	27	17	0	2	0	0	0	0	0	0	0	0	2	0	58.695652173913	36.9565217391304	0	4.34782608695652	0	10	7	0	0	1	-1
612	trimethylphenylbutenone	188.29	6.27633333333333	17.9292	29.3961	19.5457	33.531	0.59764	0.97987	0.651523333333333	1.1177	0.153846153846154	30	14	5	30	14	8	19	3	0.1	2	0	6	16	13	0	1	0	0	0	0	0	0	0	0	1	0	53.3333333333333	43.3333333333333	0	3.33333333333333	0	4	9	0	6	1	0
613	syringol	154.18	7.34190476190476	12.7784	21.3999	13.1705	23.7042	0.608495238095239	1.01904285714286	0.627166666666666	1.12877142857143	0.2	21	11	3	21	11	6	14	2	0.0952380952380952	0	0	6	10	8	0	3	0	0	0	0	0	0	0	0	3	0	47.6190476190476	38.0952380952381	0	14.2857142857143	0	2	6	0	6	1	0
614	isopropylpalmitate	298.57	5.06050847457626	30.4388	57.443	34.3756	67.3076	0.51591186440678	0.973610169491526	0.582637288135593	1.14080677966102	0.0952380952380952	59	21	4	58	20	1	21	16	0.275862068965517	1	0	0	38	19	0	2	0	0	0	0	0	0	0	0	2	0	64.4067796610169	32.2033898305085	0	3.38983050847458	0	18	1	0	0	1	0
615	diethyltartrate	206.22	7.36499999999999	15.9764	29.149	16.0568	32.1628	0.570585714285715	1.04103571428571	0.573457142857142	1.14867142857143	0.142857142857143	28	14	6	27	13	2	15	7	0.259259259259259	2	0	0	14	8	0	6	0	0	0	0	0	0	0	0	6	0	50	28.5714285714286	0	21.4285714285714	0	6	2	0	0	1	0
616	(E,E)-farnesylacetone	262.48	5.35673469387754	26.6168	47.5813	29.8755	55.4374	0.5432	0.971046938775511	0.609704081632654	1.13137551020408	0.105263157894737	49	19	6	48	18	4	22	9	0.1875	4	0	0	30	18	0	1	0	0	0	0	0	0	0	0	1	0	61.2244897959184	36.734693877551	0	2.04081632653061	0	11	7	0	0	1	0
617	eicosane	282.62	4.55838709677419	31.0628	59.5556	35.9894	70.7192	0.501012903225807	0.960574193548388	0.580474193548387	1.14063225806452	0.1	62	20	2	61	19	0	19	17	0.278688524590164	0	0	0	42	20	0	0	0	0	0	0	0	0	0	0	0	0	67.741935483871	32.258064516129	0	0	0	20	0	0	0	1	0
618	(E)-isoeugenol	164.22	6.8425	14.5904	23.9562	15.4774	26.91	0.607933333333334	0.998175	0.644891666666666	1.12125	0.181818181818182	24	12	3	24	12	7	16	2	0.0833333333333333	1	0	6	12	10	0	2	0	0	0	0	0	0	0	0	2	0	50	41.6666666666667	0	8.33333333333333	0	2	8	0	8	1	0
619	octadecanaldehyde	268.54	4.88254545454545	28.1972	53.2321	32.1597	62.683	0.512676363636364	0.967856363636364	0.584721818181819	1.13969090909091	0.105263157894737	55	19	2	54	18	1	19	16	0.296296296296296	1	0	0	36	18	0	1	0	0	0	0	0	0	0	0	1	0	65.4545454545455	32.7272727272727	0	1.81818181818182	0	17	1	0	0	1	0
620	4-vinylphenol	120.16	7.06823529411765	10.822	16.8617	11.5001	18.8702	0.636588235294118	0.991864705882353	0.676476470588235	1.11001176470588	0.25	17	9	2	17	9	7	13	1	0.0588235294117647	1	0	6	8	8	0	1	0	0	0	0	0	0	0	0	1	0	47.0588235294118	47.0588235294118	0	5.88235294117647	0	0	8	0	8	1	0
621	oleicacid	282.52	5.23185185185184	28.3852	52.6758	31.8528	61.4772	0.525651851851852	0.975477777777778	0.589866666666667	1.13846666666667	0.1	54	20	3	53	19	2	21	15	0.283018867924528	2	0	0	34	18	0	2	0	0	0	0	0	0	0	0	2	0	62.962962962963	33.3333333333333	0	3.7037037037037	0	15	3	0	0	1	0
622	methyloctadecenoate	296.55	5.20263157894736	29.912	55.5594	33.6142	64.8924	0.524771929824562	0.974726315789474	0.589722807017544	1.13846315789474	0.0952380952380952	57	21	3	56	20	2	22	16	0.285714285714286	2	0	0	36	19	0	2	0	0	0	0	0	0	0	0	2	0	63.1578947368421	33.3333333333333	0	3.50877192982456	0	16	3	0	4	1	0
623	tetradecanol	214.44	4.76533333333333	22.6168	43.5813	25.8755	51.4374	0.502595555555556	0.968473333333334	0.575011111111112	1.14305333333333	0.133333333333333	45	15	2	44	14	0	14	12	0.272727272727273	0	0	0	30	14	0	1	0	0	0	0	0	0	0	0	1	0	66.6666666666667	31.1111111111111	0	2.22222222222222	0	14	0	0	0	1	0
624	heneicosane	296.65	4.56384615384615	32.5896	62.4392	37.7508	74.1344	0.501378461538462	0.960603076923077	0.580781538461538	1.14052923076923	0.0952380952380952	65	21	2	64	20	0	20	18	0.28125	0	0	0	44	21	0	0	0	0	0	0	0	0	0	0	0	0	67.6923076923077	32.3076923076923	0	0	0	21	0	0	0	1	0
625	phytol	296.6	4.86229508196721	31.2508	58.9993	35.6825	69.5134	0.512308196721312	0.967201639344263	0.584959016393443	1.13956393442623	0.0952380952380952	61	21	6	60	20	1	21	13	0.216666666666667	1	0	0	40	20	0	1	0	0	0	0	0	0	0	0	1	0	65.5737704918033	32.7868852459016	0	1.63934426229508	0	18	2	0	0	1	0
626	5-oxymethylfurfurole	126.12	8.408	9.72480000000001	15.6327	9.6477	16.8738	0.64832	1.04218	0.64318	1.12492	0.25	15	9	2	15	9	6	12.5	2	0.133333333333333	1	0	5	6	6	0	3	0	0	0	0	0	0	0	0	3	0	40	40	0	20	0	1	5	0	7	1	0
627	lauricacid	200.36	5.27263157894736	19.7512	37.2578	22.0458	43.4012	0.519768421052632	0.980468421052632	0.580152631578948	1.14213684210526	0.142857142857143	38	14	3	37	13	1	14	10	0.27027027027027	1	0	0	24	12	0	2	0	0	0	0	0	0	0	0	2	0	63.1578947368421	31.5789473684211	0	5.26315789473684	0	11	1	0	0	1	0
628	docosane	310.68	4.56882352941176	34.1164	65.3228	39.5122	77.5496	0.501711764705882	0.960629411764706	0.581061764705882	1.14043529411765	0.0909090909090909	68	22	2	67	21	0	21	19	0.283582089552239	0	0	0	46	22	0	0	0	0	0	0	0	0	0	0	0	0	67.6470588235294	32.3529411764706	0	0	0	22	0	0	0	1	0
629	6-Methoxyeugenol	194.25	6.93749999999999	16.832	28.1671	17.6933	31.5346	0.601142857142858	1.00596785714286	0.631903571428571	1.12623571428571	0.153846153846154	28	14	4	28	14	7	18	4	0.142857142857143	1	0	6	14	11	0	3	0	0	0	0	0	0	0	0	3	0	50	39.2857142857143	0	10.7142857142857	0	3	8	0	6	1	0
630	stearylalcohol	270.56	4.74666666666666	28.724	55.1157	32.9211	65.0982	0.503929824561404	0.966942105263158	0.577563157894737	1.14207368421053	0.105263157894737	57	19	2	56	18	0	18	16	0.285714285714286	0	0	0	38	18	0	1	0	0	0	0	0	0	0	0	1	0	66.6666666666667	31.5789473684211	0	1.75438596491228	0	18	0	0	0	1	0
631	methylvanillate	182.19	7.92130434782608	14.4932	23.7272	14.625	25.9136	0.630139130434783	1.03161739130435	0.635869565217391	1.12667826086956	0.166666666666667	23	13	4	23	13	7	17	3	0.130434782608696	1	0	6	10	9	0	4	0	0	0	0	0	0	0	0	4	0	43.4782608695652	39.1304347826087	0	17.3913043478261	0	2	7	0	8	1	0
632	ethylvanillate	196.22	7.54692307692307	16.02	26.6108	16.3864	29.3288	0.616153846153847	1.02349230769231	0.630246153846153	1.12803076923077	0.153846153846154	26	14	4	26	14	7	18	4	0.153846153846154	1	0	6	12	10	0	4	0	0	0	0	0	0	0	0	4	0	46.1538461538462	38.4615384615385	0	15.3846153846154	0	3	7	0	8	1	0
633	acetovanillone	166.19	7.55409090909091	13.7784	22.3999	14.1705	24.7042	0.626290909090909	1.01817727272727	0.644113636363636	1.12291818181818	0.181818181818182	22	12	4	22	12	7	16	2	0.0909090909090909	1	0	6	10	9	0	3	0	0	0	0	0	0	0	0	3	0	45.4545454545455	40.9090909090909	0	13.6363636363636	0	2	7	0	8	1	0
634	tricosane	324.709999999999	4.57338028169013	35.6432	68.2064	41.2736	80.9648	0.50201690140845	0.960653521126761	0.581318309859154	1.14034929577465	0.0869565217391304	71	23	2	70	22	0	22	20	0.285714285714286	0	0	0	48	23	0	0	0	0	0	0	0	0	0	0	0	0	67.6056338028169	32.3943661971831	0	0	0	23	0	0	0	1	0
